Task_Code,Task_Name,Project_Code,Parent_Task_Code,Status,Priority,Assignee,Start_Date,Due_Date,Estimate_Hours,Percent_Complete,Predecessor_Codes,Sort_Order
T-001,Discovery and audit,ATL-001,,Done,High,Aathira,01-Jan-2026,10-Jan-2026,40,100,,1
T-002,Design target architecture,ATL-001,,In Progress,High,Sam,11-Jan-2026,28-Jan-2026,80,60,T-001,2
T-003,Provision infrastructure,ATL-001,,To Do,High,Priya,29-Jan-2026,12-Feb-2026,60,0,T-002,3
T-004,Migrate database,ATL-001,,To Do,Urgent,Sam,13-Feb-2026,05-Mar-2026,120,0,T-003,4
T-005,Cutover and validate,ATL-001,,Backlog,High,Aathira,06-Mar-2026,20-Mar-2026,40,0,T-004,5
T-006,Networking setup,ATL-001,T-003,To Do,Medium,Priya,29-Jan-2026,04-Feb-2026,24,0,,1
T-007,Compute setup,ATL-001,T-003,To Do,Medium,Raj,05-Feb-2026,12-Feb-2026,24,0,T-006,2
T-008,Brand research,ATL-002,,In Progress,Medium,Maya,15-Feb-2026,28-Feb-2026,40,30,,1
T-009,Logo concepts,ATL-002,,To Do,High,Maya,01-Mar-2026,15-Mar-2026,60,0,T-008,2
T-010,Style guide,ATL-002,,Backlog,Medium,Leo,16-Mar-2026,31-Mar-2026,40,0,T-009,3
T-011,App wireframes,ATL-003,,In Progress,High,Leo,01-Mar-2026,15-Mar-2026,50,45,,1
T-012,API contract,ATL-003,,In Progress,Urgent,Sam,01-Mar-2026,12-Mar-2026,40,50,,2
T-013,Build API,ATL-003,,To Do,Urgent,Sam,13-Mar-2026,10-Apr-2026,120,0,T-012,3
T-014,Build app UI,ATL-003,,To Do,High,Leo,16-Mar-2026,20-Apr-2026,140,0,T-011,4
T-015,Integrate and QA,ATL-003,,Backlog,High,Priya,21-Apr-2026,10-May-2026,80,0,T-013;T-014,5
